stat_group,stat_var,stat_label,row_group,row_var,row_label,rowLevels,col_group,col_var,col_label,colLevels,coef,se,caption,new_caption,new_caption2,FIGURE,CR_P_RELIABLE,CR_Q_RELIABLE,ZERO
Health status,Disabled,Disability status,Number or Percentage,ind,(none),Total,Demographic Characteristics,ind,Total,Total,9.2,"8.7,  9.8","Percentage of disability for adults aged 18 and over (95% confidence intervals), United States",,"Disability is defined by the reported level of difficulty (no difficulty, some difficulty, a lot of difficulty, or cannot do at all) in six functioning domains: seeing (even if wearing glasses), hearing (even if wearing hearing aids), mobility (walking or climbing stairs), communication (understanding or being understood by others), cognition (remembering or concentrating), and self-care (such as washing all over or dressing). Adults who responded ""a lot of difficulty"" or ""cannot do at all"" to at least one question were considered to have a disability.",1,,1,1
Health status,Disabled,Disability status,Number or Percentage,ind,(none),Total,Demographic Characteristics,sex,Sex,Male,8.3,"7.6,  9.0","Percentage of disability for adults aged 18 and over (95% confidence intervals), United States",,"Disability is defined by the reported level of difficulty (no difficulty, some difficulty, a lot of difficulty, or cannot do at all) in six functioning domains: seeing (even if wearing glasses), hearing (even if wearing hearing aids), mobility (walking or climbing stairs), communication (understanding or being understood by others), cognition (remembering or concentrating), and self-care (such as washing all over or dressing). Adults who responded ""a lot of difficulty"" or ""cannot do at all"" to at least one question were considered to have a disability.",1,,1,1
Health status,Disabled,Disability status,Number or Percentage,ind,(none),Total,Demographic Characteristics,sex,Sex,Female,10.2,"9.4, 11.0","Percentage of disability for adults aged 18 and over (95% confidence intervals), United States",,"Disability is defined by the reported level of difficulty (no difficulty, some difficulty, a lot of difficulty, or cannot do at all) in six functioning domains: seeing (even if wearing glasses), hearing (even if wearing hearing aids), mobility (walking or climbing stairs), communication (understanding or being understood by others), cognition (remembering or concentrating), and self-care (such as washing all over or dressing). Adults who responded ""a lot of difficulty"" or ""cannot do at all"" to at least one question were considered to have a disability.",1,,1,1
Health status,Disabled,Disability status,Number or Percentage,ind,(none),Total,Demographic Characteristics,agegrps,Age groups,18-34,3.8,"3.0,  4.8","Percentage of disability for adults aged 18 and over (95% confidence intervals), United States",,"Disability is defined by the reported level of difficulty (no difficulty, some difficulty, a lot of difficulty, or cannot do at all) in six functioning domains: seeing (even if wearing glasses), hearing (even if wearing hearing aids), mobility (walking or climbing stairs), communication (understanding or being understood by others), cognition (remembering or concentrating), and self-care (such as washing all over or dressing). Adults who responded ""a lot of difficulty"" or ""cannot do at all"" to at least one question were considered to have a disability.",1,,1,1
Health status,Disabled,Disability status,Number or Percentage,ind,(none),Total,Demographic Characteristics,agegrps,Age groups,35-49,4.6,"3.9,  5.5","Percentage of disability for adults aged 18 and over (95% confidence intervals), United States",,"Disability is defined by the reported level of difficulty (no difficulty, some difficulty, a lot of difficulty, or cannot do at all) in six functioning domains: seeing (even if wearing glasses), hearing (even if wearing hearing aids), mobility (walking or climbing stairs), communication (understanding or being understood by others), cognition (remembering or concentrating), and self-care (such as washing all over or dressing). Adults who responded ""a lot of difficulty"" or ""cannot do at all"" to at least one question were considered to have a disability.",1,,1,1
Health status,Disabled,Disability status,Number or Percentage,ind,(none),Total,Demographic Characteristics,agegrps,Age groups,50-64,10.8,"9.9, 11.9","Percentage of disability for adults aged 18 and over (95% confidence intervals), United States",,"Disability is defined by the reported level of difficulty (no difficulty, some difficulty, a lot of difficulty, or cannot do at all) in six functioning domains: seeing (even if wearing glasses), hearing (even if wearing hearing aids), mobility (walking or climbing stairs), communication (understanding or being understood by others), cognition (remembering or concentrating), and self-care (such as washing all over or dressing). Adults who responded ""a lot of difficulty"" or ""cannot do at all"" to at least one question were considered to have a disability.",1,,1,1
Health status,Disabled,Disability status,Number or Percentage,ind,(none),Total,Demographic Characteristics,agegrps,Age groups,65 and over,20.3,"18.8, 21.8","Percentage of disability for adults aged 18 and over (95% confidence intervals), United States",,"Disability is defined by the reported level of difficulty (no difficulty, some difficulty, a lot of difficulty, or cannot do at all) in six functioning domains: seeing (even if wearing glasses), hearing (even if wearing hearing aids), mobility (walking or climbing stairs), communication (understanding or being understood by others), cognition (remembering or concentrating), and self-care (such as washing all over or dressing). Adults who responded ""a lot of difficulty"" or ""cannot do at all"" to at least one question were considered to have a disability.",1,,1,1
Health status,Disabled,Disability status,Number or Percentage,ind,(none),Total,Demographic Characteristics,hisprace,Hispanic origin and race,Hispanic,8.2,"6.5, 10.2","Percentage of disability for adults aged 18 and over (95% confidence intervals), United States",,"Disability is defined by the reported level of difficulty (no difficulty, some difficulty, a lot of difficulty, or cannot do at all) in six functioning domains: seeing (even if wearing glasses), hearing (even if wearing hearing aids), mobility (walking or climbing stairs), communication (understanding or being understood by others), cognition (remembering or concentrating), and self-care (such as washing all over or dressing). Adults who responded ""a lot of difficulty"" or ""cannot do at all"" to at least one question were considered to have a disability.",1,,1,1
Health status,Disabled,Disability status,Number or Percentage,ind,(none),Total,Demographic Characteristics,hisprace,Hispanic origin and race,"Black, non-Hispanic",9.7,"9.1, 10.3","Percentage of disability for adults aged 18 and over (95% confidence intervals), United States",,"Disability is defined by the reported level of difficulty (no difficulty, some difficulty, a lot of difficulty, or cannot do at all) in six functioning domains: seeing (even if wearing glasses), hearing (even if wearing hearing aids), mobility (walking or climbing stairs), communication (understanding or being understood by others), cognition (remembering or concentrating), and self-care (such as washing all over or dressing). Adults who responded ""a lot of difficulty"" or ""cannot do at all"" to at least one question were considered to have a disability.",1,,1,1
Health status,Disabled,Disability status,Number or Percentage,ind,(none),Total,Demographic Characteristics,hisprace,Hispanic origin and race,"White, non-Hispanic",10.3,"9.0, 11.8","Percentage of disability for adults aged 18 and over (95% confidence intervals), United States",,"Disability is defined by the reported level of difficulty (no difficulty, some difficulty, a lot of difficulty, or cannot do at all) in six functioning domains: seeing (even if wearing glasses), hearing (even if wearing hearing aids), mobility (walking or climbing stairs), communication (understanding or being understood by others), cognition (remembering or concentrating), and self-care (such as washing all over or dressing). Adults who responded ""a lot of difficulty"" or ""cannot do at all"" to at least one question were considered to have a disability.",1,,1,1
