stat_group,stat_var,stat_label,row_group,row_var,row_label,rowLevels,col_group,col_var,col_label,colLevels,coef,se,caption,new_caption,new_caption2,FIGURE,CR_P_RELIABLE,CR_Q_RELIABLE,ZERO
Health status,Disabled,Disability status,Number or Percentage,ind,(none),Total,Demographic characteristics,ind,Total,Total,9.4,"8.6 ,10.3","Percentage of disability status for adults aged 18 and over (95% confidence intervals), United States",,"Disability is defined by the reported level of difficulty (no difficulty, some difficulty, a lot of difficulty, or cannot do at all) in six functioning domains: seeing (even if wearing glasses), hearing (even if wearing hearing aids), mobility (walking or climbing stairs), communication (understanding or being understood by others), cognition (remembering or concentrating), and self-care (such as washing all over or dressing). Adults who responded ""a lot of difficulty"" or ""cannot do at all"" to at least one question were considered to have a disability.",1,1,1,1
Health care service use,Mntl_Therapy,Counseled by a mental health professional,Number or Percentage,ind,(none),Total,Demographic characteristics,ind,Total,Total,10.2,"9.1 ,11.3","Percentage of mental health counseling in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,"Adults were asked if they received counseling or therapy from a mental health professional such as a psychiatrist, psychologist, psychiatric nurse, or clinical social worker in the past 12 months.",10,1,1,1
Health care service use,Dental,Dental exam or cleaning,Number or Percentage,ind,(none),Total,Demographic characteristics,ind,Total,Total,63.9,"62.3,65.6","Percentage of dental exam or cleaning in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,Adults were asked about how long it had been since they last had a dental examination or cleaning.,11,1,1,1
Health care service use,Bld_prss_chk,Blood pressure check,Number or Percentage,ind,(none),Total,Demographic characteristics,ind,Total,Total,777,,"Percentage of blood pressure check in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,"Adults were asked when was the last time they had their blood pressure checked by a doctor, nurse, or other health professional.",12,1,1,1
Health care service use,Flu_vacc,Receipt of influenza vaccination,Number or Percentage,ind,(none),Total,Demographic characteristics,ind,Total,Total,49.2,"47.4,50.9","Percentage of receipt of influenza vaccination in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,Receipt of a flu vaccination is defined by report of having received a vaccination in the past 12 months as opposed to during a flu season.,13,1,1,1
Health care service access,No_Medcl,Did not get needed medical care due to cost,Number or Percentage,ind,(none),Total,Demographic characteristics,ind,Total,Total,6.2,"5.3 ,7.1","Percentage of adults aged 18 and over who did not get needed medical care due to cost in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,Adults were asked if there was any time when they did not get needed medical care because of the cost during the past 12 months.,14,1,1,1
Health care service access,Mental,Did not get needed mental health care due to cost,Number or Percentage,ind,(none),Total,Demographic characteristics,ind,Total,Total,4.1,"3.3 ,5.0","Percentage of adults aged 18 and over who did not get needed mental health care due to cost in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,Adults were asked if there was any time when they did not get needed counseling or therapy from a mental health professional because of the cost during the past 12 months.,15,1,1,1
Health care service access,No_Pres,Did not take medication as prescribed to save money,Number or Percentage,ind,(none),Total,Demographic characteristics,ind,Total,Total,8.5,"7.1 ,10.0","Percentage of adults aged 18 and over who did not take medication as prescribed to reduce costs in the past 12 months for adults aged 18 and over (95% confidence intervals), United States",,"Adults who took prescription medication in the past 12 months were asked a series of questions about ways in which they may not have taken the medication as prescribed in order to save money. Estimates are based on a positive response to at least one question about skipping medication doses to save money, taking less medicine to save money, or delay filling a prescription to save money.",16,1,1,1
Health behaviors,Smk_now,Current cigarette smoking,Number or Percentage,ind,(none),Total,Demographic characteristics,ind,Total,Total,12.2,"10.8,13.6","Percentage of current cigarette smoking for adults aged 18 and over (95% confidence intervals), United States",,Estimates include adults who smoked at least 100 cigarettes in their lifetime and now smoke every day or some days.,17,1,1,1
Health behaviors,e_cig,Current electronic cigarette use,Number or Percentage,ind,(none),Total,Demographic characteristics,ind,Total,Total,3.6,"2.9 ,4.3","Percentage of current electronic cigarette use for adults aged 18 and over (95% confidence intervals), United States",,Estimates include adults who used an electronic cigarette or other electronic vaping product and now use them every day or some days.,18,1,1,1
